restricted_product_category,prohibited_policy_text,policy_page,item_type,asin,screenshot,listing_url
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B081Q4FPQW,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B081Q4FPQW-2020-04-17-16_25_07.png,https://www.amazon.com/Personal-Health-Care-Hand-Without/dp/B081Q4FPQW
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B081VMHBMB,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B081VMHBMB-2020-02-10-00_21_59.png,https://www.amazon.com/Parts-Transformer-Stamp-Round-PUNCH/dp/B081VMHBMB
Drugs & drug paraphernalia,Product listings must comply with Amazon policies: Tablet presses or molds used to press or imprint a pharmaceutical drug name or identification number onto a tablet or pill are prohibited,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Pill presses and molds,B08776HV1D,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B08776HV1D-2020-04-17-14_47_37.png,https://www.amazon.com/gp/product/B08776HV1DB08776HV1D
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as:
The term ""drug paraphernalia"" includes any equipment, product, or material of any kind which is primarily intended or designed for use in: manufacturing, compounding, converting, concealing, producing, processing, preparing, injecting, ingesting, inhaling, or otherwise introducing into the human body a controlled substance. ",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,"Straws to ingest substances, which can be used for cocaine",B07FXMRGP4,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07FXMRGP4-2020-02-08-09_57_06.png,https://www.amazon.com/PC-Snuff-Straw-Vacuum-Style/dp/B07FXMRGP4
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as:
The term ""drug paraphernalia"" includes any equipment, product, or material of any kind which is primarily intended or designed for use in: manufacturing, compounding, converting, concealing, producing, processing, preparing, injecting, ingesting, inhaling, or otherwise introducing into the human body a controlled substance. ",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,"Straws to ingest substances, which can be used for cocaine",B07FXW538V,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07FXW538V-2020-04-02-00_20_24.png,https://www.amazon.com/Double-Sniffer-Snorter-Multi-Purpose-Y-Shaped/dp/B07FXW538V
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as:
The term ""drug paraphernalia"" includes any equipment, product, or material of any kind which is primarily intended or designed for use in: manufacturing, compounding, converting, concealing, producing, processing, preparing, injecting, ingesting, inhaling, or otherwise introducing into the human body a controlled substance. ",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,"Bullets with attached mini spoons to ingest substances, which can include cocaine",B07P5XT8Q8,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07P5XT8Q8-2020-02-10-00_12_25.png,https://www.amazon.com/Genuine-Leather-Tobacco-Snorter-Sniffer/dp/B07P5XT8Q8
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as:
The term ""drug paraphernalia"" includes any equipment, product, or material of any kind which is primarily intended or designed for use in: manufacturing, compounding, converting, concealing, producing, processing, preparing, injecting, ingesting, inhaling, or otherwise introducing into the human body a controlled substance. ",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Smell-proof dime bag,B07PLC6YN4,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07PLC6YN4-2020-04-17-16_40_06.png,https://www.amazon.com/Dime-Bags-All-Padded-Pouch/dp/B07PLC6YN4
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as:
The term ""drug paraphernalia"" includes any equipment, product, or material of any kind which is primarily intended or designed for use in: manufacturing, compounding, converting, concealing, producing, processing, preparing, injecting, ingesting, inhaling, or otherwise introducing into the human body a controlled substance. ",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,"Bullets with attached mini spoons to ingest substances, which can include cocaine",B081BDYFVT,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B081BDYFVT-2020-02-07-18_07_43.png,https://www.amazon.com/dp/B081BDYFVT
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: ""Rose in a Glass"" pipes and similar products",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Crack pipes,B07TKNX5FQ,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07TKNX5FQ-2020-05-20-21_38_52.png,https://www.amazon.com/inch-Piece-Pyrex-Glass-Tubes/dp/B07TKNX5FQ
Drugs & drug paraphernalia,"Products must not be primarily used for making, preparing, or using a controlled substance, such as: ""Rose in a Glass"" pipes and similar products",https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/Drugs-drug-paraphernalia-screencapture-sellercentral-amazon-gp-help-external-help-html-2020-01-21-12_46_43.png,Crack pipes,B07TNWPN6B,https://github.com/the-markup/investigation-amazon-banned-items-screenshots/raw/master/screenshots/B07TNWPN6B-2020-05-20-21_37_50.png,https://www.amazon.com/inch-Piece-Pyrex-Glass-Tubes/dp/B07TNWPN6B
